cells,UMAP1,UMAP2
CY89CORE11_D09_S141_comb,8.264593,16.452614
cy78_CD45_neg_1_F10_S550_comb,6.499021,15.527396
cy79_p4_CD45_neg_PDL1_pos_H11_S479_comb,11.876794,16.210138
cy81_FNA_CD45_neg_H09_S1053_comb,10.514785,12.141265
cy78_CD45_neg_3_E05_S725_comb,5.738893,15.457043
cy78_CD45_neg_1_H04_S568_comb,5.47687,14.573506
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_A07_S7_comb,13.314746,15.738133
CY89FNAQ2_B02_S398_comb,8.733128,16.693998
Cy71_CD45_H06_S570_comb,6.669657,13.183305
cy79_p3_CD45_neg_PDL1_neg_D09_S237_comb,11.776974,17.308275
CY88_5_B12_S696_comb,6.5762916,14.727147
CY88_3_H10_S670_comb,7.7890453,14.676984
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B11_S119_comb,11.541455,17.631674
CY89FNAQ2_C04_S412_comb,8.262442,15.390874
cy79_p5_CD45_neg_PDL1_pos_E10_S730_comb,11.026844,16.643093
Cy80_II_CD45_B09_S885_comb,9.393789,13.148491
cy79_p5_CD45_neg_PDL1_pos_G02_S746_comb,11.710821,15.913601
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G02_S170_comb,11.121079,16.6327
cy79_p3_CD45_neg_PDL1_neg_E05_S245_comb,10.476281,16.857271
CY88_5_H05_S761_comb,6.3306146,14.35388
Cy81_FNA_CD45_H12_S384_comb,9.858319,11.06489
cy79_p5_CD45_neg_PDL1_neg_G04_S844_comb,9.888568,16.642519
CY88_5_D08_S716_comb,7.300718,14.896529
cy79_p4_CD45_neg_PDL1_pos_B11_S407_comb,11.212439,17.170547
cy79_p3_CD45_neg_PDL1_neg_B11_S215_comb,11.624547,17.53622
CY88_3_B12_S600_comb,7.714377,14.795367
cy81_FNA_CD45_neg_F02_S1022_comb,10.703497,11.524273
cy79_p4_CD45_neg_PDL1_pos_D05_S425_comb,12.536914,15.864707
cy94_cd45neg_cd90pos_A11_S299_comb,9.6382475,15.091991
cy60_1_cd_45_neg_3_F06_S546_comb,7.36147,15.988144
cy79_p4_CD45_neg_PDL1_pos_D01_S421_comb,8.8930435,16.261505
CY88_5_D10_S718_comb,6.45542,14.727637
CY89NEG_H06_S90_comb,7.6021466,16.8292
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H03_S375_comb,9.550037,16.770742
Cy81_Bulk_CD45_E08_S152_comb,9.60019,11.285771
CY89FNAQ2_H03_S471_comb,7.918818,16.95598
cy79_p4_CD45_neg_PDL1_neg_H09_S1149_comb,11.157958,16.2809
cy81_FNA_CD45_neg_B04_S976_comb,10.423161,10.813403
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F11_S167_comb,8.962168,15.980146
cy79_p4_CD45_neg_PDL1_neg_F03_S1119_comb,10.437255,16.432467
cy79_p4_CD45_neg_PDL1_pos_C04_S412_comb,9.438328,16.71141
Cy80_II_CD45_G09_S945_comb,10.035414,13.244633
cy79_p5_CD45_neg_PDL1_pos_G05_S749_comb,10.563032,17.198048
cy79_p4_CD45_neg_PDL1_pos_F06_S450_comb,9.375316,16.213036
cy82_CD45_pos_3_C11_S35_comb,11.877921,13.036306
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_C04_S316_comb,8.827803,16.370546
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F06_S162_comb,11.332061,16.693542
CY88_3_C12_S612_comb,6.995236,15.028907
Cy80_II_CD45_D09_S909_comb,9.71455,13.263548
cy81_FNA_CD45_neg_E12_S1020_comb,10.695876,11.974797
cy78_CD45_neg_3_G09_S753_comb,5.871365,15.173363
cy79_p4_CD45_neg_PDL1_neg_A12_S1068_comb,9.199329,16.733784
cy79_p4_CD45_neg_PDL1_neg_B11_S1079_comb,10.949145,16.298496
cy79_p5_CD45_neg_PDL1_neg_A05_S773_comb,10.169233,17.043783
Cy71_CD45_D11_S527_comb,6.9203405,13.289543
cy80_CD45_neg_D03_S903_comb,10.239581,13.310535
cy78_CD45_neg_1_B08_S500_comb,5.565505,15.67269
cy88_cd45pos_5_C01_S217_comb,6.932828,13.880714
cy81_Bulk_CD45_neg_E09_S153_comb,10.715056,12.063635
cy79_p3_CD45_neg_PDL1_neg_B06_S210_comb,11.340424,16.734505
cy78_CD45_neg_3_D07_S715_comb,5.784329,15.193883
cy79_p5_CD45_neg_PDL1_neg_F05_S833_comb,11.620406,17.14196
cy80_CD45_neg_B01_S877_comb,10.051499,13.995081
cy82_CD45_pos_1_E08_S536_comb,12.0617895,13.304305
Cy81_Bulk_CD45_B09_S117_comb,10.045217,11.375979
cy78_CD45_neg_1_A03_S483_comb,5.730809,15.508837
cy79_p5_CD45_neg_PDL1_neg_H06_S858_comb,10.137236,17.233864
cy79_p4_CD45_neg_PDL1_neg_A03_S1059_comb,10.985127,16.576653
cy78_CD45_neg_1_F08_S548_comb,7.9721594,15.753584
cy60_1_cd_45_neg_3_C10_S514_comb,6.7689524,15.869008
CY88_3_C08_S608_comb,7.9168057,14.373228
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_A12_S108_comb,12.466221,16.908611
cy79_p5_CD45_neg_PDL1_neg_H10_S862_comb,11.965262,15.800655
Cy71_CD45_G09_S561_comb,6.89801,13.785853
cy80_CD45_neg_C09_S897_comb,10.125487,14.298199
Cy71_CD45_F11_S551_comb,6.7986965,12.1716385
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B04_S304_comb,10.434251,16.21724
cy78_CD45_neg_3_D08_S716_comb,5.8222613,15.546261
cy79_p5_CD45_neg_PDL1_pos_E03_S723_comb,11.237072,17.696161
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_F04_S160_comb,11.680913,15.770589
cy79_p4_CD45_neg_PDL1_pos_C12_S420_comb,9.633552,16.55676
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C08_S128_comb,11.873897,17.348053
cy79_p5_CD45_neg_PDL1_pos_E08_S728_comb,9.954768,16.905313
cy80_CD45_neg_D07_S907_comb,10.19893,14.152477
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_F03_S63_comb,12.683583,16.121428
cy79_p5_CD45_neg_PDL1_neg_H07_S859_comb,7.79496,17.011364
cy79_p5_CD45_pos_PD1_pos_E02_S626_comb,10.368794,17.300423
cy80_CD45_neg_A03_S867_comb,10.184401,13.187926
Cy81_FNA_CD45_B10_S310_comb,9.557966,11.2884865
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_H07_S187_comb,12.697677,17.11933
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B07_S115_comb,10.903364,17.170937
cy79_p5_CD45_neg_PDL1_neg_G09_S849_comb,12.086602,17.234116
cy79_p5_CD45_neg_PDL1_neg_C09_S801_comb,10.548818,15.930704
CY88_5_E02_S722_comb,6.876206,14.597243
cy80_CD45_neg_H09_S957_comb,10.01497,13.387563
cy53_1_CD45_neg_E12_S348_comb,9.80782,11.823042
cy80_CD45_neg_H02_S950_comb,9.991988,13.063867
cy78_CD45_neg_2_C05_S605_comb,6.197572,15.154585
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G04_S172_comb,10.780425,17.555567
cy79_p5_CD45_neg_PDL1_neg_G03_S843_comb,9.0662155,16.070185
cy78_CD45_neg_1_G04_S556_comb,5.9839354,15.971334
cy53_1_CD45_neg_H12_S384_comb,10.115149,11.776547
cy78_CD45_neg_1_D05_S521_comb,6.6223493,14.648316
Cy71_CD45_H10_S574_comb,6.297048,13.292838
cy79_p4_CD45_neg_PDL1_pos_D12_S432_comb,11.926822,16.2356
cy81_Bulk_CD45_neg_C08_S128_comb,10.100124,10.717724
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G07_S79_comb,10.535752,17.347916
cy79_p4_CD45_neg_PDL1_pos_A08_S392_comb,11.20218,15.253058
cy78_CD45_neg_1_C10_S514_comb,5.68933,15.536367
cy78_CD45_neg_3_D09_S717_comb,8.078599,15.690906
Cy81_Bulk_CD45_C06_S126_comb,9.941566,10.724709
cy82_CD45_pos_2_E07_S535_comb,11.865507,13.149612
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_G12_S180_comb,8.702447,12.456231
Cy81_FNA_CD45_H10_S382_comb,9.461015,11.0048
Cy80_II_CD45_B02_S878_comb,9.444786,13.490029
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_B10_S310_comb,10.345876,17.428097
cy80_CD45_neg_E01_S913_comb,10.256473,13.560058
Cy81_FNA_CD45_B11_S311_comb,9.4117565,11.430698
cy81_Bulk_CD45_neg_C04_S124_comb,10.2429285,12.529373
CY88_3_G07_S655_comb,6.693003,14.883518
Cy81_Bulk_CD45_B12_S120_comb,9.7970085,11.612246
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G03_S75_comb,13.309232,15.914047
cy79_p4_CD45_neg_PDL1_pos_F11_S455_comb,12.098119,16.497465
cy78_CD45_neg_3_B08_S692_comb,6.0157866,15.600004
cy78_CD45_neg_3_C09_S705_comb,6.2442093,15.889598
cy82_CD45_pos_1_H05_S569_comb,11.949896,13.008995
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G09_S81_comb,12.271912,17.25522
CY88_5_F11_S743_comb,7.001132,14.660361
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_B04_S112_comb,13.125583,16.014868
cy80_CD45_neg_H03_S951_comb,10.299011,14.213772
cy78_CD45_neg_1_H02_S566_comb,6.061483,15.629481
CY88_5_C09_S705_comb,7.24343,14.898469
cy79_p3_CD45_neg_PDL1_neg_F07_S259_comb,10.790447,16.039978
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_C10_S34_comb,11.82732,17.285252
cy81_Bulk_CD45_neg_B03_S111_comb,10.932633,11.942313
cy81_Bulk_CD45_neg_E08_S152_comb,10.724032,11.867451
cy84_Primary_CD45_neg_G07_S1039_comb,7.4535265,15.944497
cy79_p4_CD45_neg_PDL1_neg_D06_S1098_comb,11.65792,16.825335
cy79_p4_CD45_neg_PDL1_neg_B09_S1077_comb,10.476062,15.486827
cy53_1_CD45_neg_D06_S330_comb,10.375808,12.458205
Cy71_CD45_A10_S490_comb,6.7656245,13.297469
cy79_p4_CD45_neg_PDL1_pos_B10_S406_comb,11.507242,17.452768
Cy80_II_CD45_F12_S936_comb,10.214253,13.2061405
cy80_CD45_neg_D10_S910_comb,9.893811,15.819187
Cy81_Bulk_CD45_B01_S109_comb,9.675338,10.575742
Cy80_II_CD45_B06_S882_comb,9.485334,12.869128
cy79_p5_CD45_neg_PDL1_pos_F02_S734_comb,11.723755,15.860086
cy79_p5_CD45_neg_PDL1_neg_G07_S847_comb,9.521463,16.695805
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_E11_S59_comb,11.872428,16.875914
Cy71_CD45_F10_S550_comb,6.888758,12.981734
cy84_Primary_CD45_neg_A03_S963_comb,9.312832,13.797348
cy79_p1_CD45_neg_PDL1_neg_AS_C4_R1_C07_S127_comb,10.83896,16.027388
Cy71_CD45_D09_S525_comb,6.1430955,13.967889
cy79_p4_CD45_neg_PDL1_neg_H03_S1143_comb,9.890753,16.345142
cy79_p4_CD45_neg_PDL1_neg_H10_S1150_comb,9.778263,16.855007
CY89CORE11_F03_S159_comb,9.031183,16.486553
CY89FNAQ2_B10_S406_comb,8.837961,15.158616
cy79_p4_CD45_neg_PDL1_pos_D02_S422_comb,12.008867,16.872667
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_D10_S46_comb,12.2691555,16.389538
Cy80_II_CD45_F07_S931_comb,9.38528,13.045115
cy79_p4_CD45_neg_PDL1_pos_A11_S395_comb,10.031899,16.21338
cy79_p1_CD45_neg_PDL1_pos_AS_C1_R1_G06_S78_comb,12.729119,16.417664
CY88_5_B03_S687_comb,6.7984385,14.62322
Cy71_CD45_E10_S538_comb,6.3966794,13.39027
cy84_Primary_CD45_neg_E12_S1020_comb,8.2057905,15.98784
CY89NEG_A03_S3_comb,7.6901736,16.958178
cy79_p4_CD45_neg_PDL1_neg_G07_S1135_comb,9.194005,14.4479065
cy78_CD45_neg_1_F05_S545_comb,5.993703,14.713033
CY88_5_B07_S691_comb,7.110693,14.088851
cy82_CD45_pos_2_F11_S551_comb,11.912493,12.914096
cy79_p4_CD45_neg_PDL1_pos_C10_S418_comb,11.842351,17.21534
cy79_p4_CD45_neg_PDL1_pos_E02_S434_comb,11.560295,15.8992605
CY88_5_B01_S685_comb,6.636542,14.417878
cy79_p3_CD45_neg_PD1_pos_AS_C3_R1_H02_S374_comb,11.321303,17.160547
cy79_p4_CD45_neg_PDL1_pos_F09_S453_comb,10.892812,16.257217
